Altium Designer Pick and Place Locations
U:\github\cryptus-hardware\CryptUS_RevB\Output\Assembly\CryptUS_RevB_ASM.txt

========================================================================================================================
File Design Information:

Date:       12-05-25
Time:       11:52
Revision:   731e9458c6a8075c0c61c478798f47fc9fac8e56
Variant:    CRYPTUS
Units used: mil

Designator Comment                              Layer       Footprint          Center-X(mil) Center-Y(mil) Rotation Description                                                                       
C1         220nF                                TopLayer    CAP_1812           10140.000     6591.000      90       "Generic SMT Ceramic Capacitor"                                                   
MT4        M3                                   TopLayer    MTH_M3             13677.008     9677.009      0        ""                                                                                
MT3        M3                                   TopLayer    MTH_M3             13677.008     6259.999      0        ""                                                                                
MT1        M3                                   TopLayer    MTH_M3             10260.000     9677.008      0        ""                                                                                
MT2        M3                                   TopLayer    MTH_M3             10260.000     6260.000      0        ""                                                                                
FD6        FIDUCIAL                             BottomLayer FIDUCIAL           13455.000     6115.000      180      ""                                                                                
FD5        FIDUCIAL                             BottomLayer FIDUCIAL           13455.000     9820.000      180      ""                                                                                
FD4        FIDUCIAL                             BottomLayer FIDUCIAL           10485.000     9820.000      180      ""                                                                                
FD3        FIDUCIAL                             TopLayer    FIDUCIAL           13455.000     6115.000      0        ""                                                                                
FD2        FIDUCIAL                             TopLayer    FIDUCIAL           13455.000     9820.000      0        ""                                                                                
FD1        FIDUCIAL                             TopLayer    FIDUCIAL           10485.000     9820.000      0        ""                                                                                
